area_type,availability,location,size,bath,balcony,price
Super built-up  Area,18-?.?.,Jalahalli,3 BHK,3,0,77
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,3,2,115
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,2,,90
Plot  Area,19-?.?.,Anekal,2 Bedroom,1,1,36
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,2,44
Built-up  Area,Ready To Move,Kengeri,2 BHK,2,1,25
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,1,40
Built-up  Area,20-?.?.,"Hoodi Circle, ",3 BHK,3,2,79
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,2,0,134
Super built-up  Area,21-??.?.,Vijayanagar,3 BHK,3,2,121
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,94
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,45.79
Super built-up  Area,Ready To Move,Sompura,2 BHK,2,1,33
Super built-up  Area,18-?.?.,Yeshwanthpur,3 BHK,3,3,108
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,2,53
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,2,1,58
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,2,1,32
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,2,2,55
Super built-up  Area,Ready To Move,K N Extension,6 BHK,3,,120
Built-up  Area,Ready To Move,Hosur Road,2 BHK,2,1,120
Super built-up  Area,Ready To Move,Chandapura,3 BHK,3,1,45
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,161
Super built-up  Area,Ready To Move,Whitefield,4 BHK,4,1,230
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,2,1,65
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,4,1,175
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,82
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,2,0,165
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,2,0,125
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,2,410
Super built-up  Area,19-?.?.,Rajaji Nagar,7 BHK,6,3,2200
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,1,1,62
Super built-up  Area,Ready To Move,Kengeri,1 BHK,1,0,18.5
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,2,,38
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,1,38
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,7,3,250
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,3,64.5
Built-up  Area,Ready To Move,Amco Colony,3 BHK,3,2,88
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,2,2,62
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,3,2,150
Plot  Area,17-?.?.,Anandapura,2 Bedroom,2,1,55
Built-up  Area,18-?.?.,Bommasandra Industrial Area,2 BHK,2,2,31.48
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,0,60
Super built-up  Area,Ready To Move,Budigere,3 BHK,4,2,103
Super built-up  Area,18-?.?.,Bommasandra,2 BHK,2,1,26.5
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,2,1,75
Built-up  Area,Ready To Move,Hoodi,2 BHK,2,2,67
Plot  Area,Ready To Move,Chandapura,6 Bedroom,5,3,85
Super built-up  Area,17-?.?.,Balagere,3 BHK,3,2,79
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2,2,55
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,2,1,55
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,2,140
Built-up  Area,16-??.?.,Hosur Road,2 BHK,2,0,69
Super built-up  Area,Ready To Move,Brookefield,2 BHK,2,3,69
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,2,2,47.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,48.1
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,8,,250
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,4,,240
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,3,2,55
Super built-up  Area,18-?.?.,Udayapur Village,3 BHK,3,2,68.29
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,1,1,40
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,4,3,110
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,3,700
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,1,76
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2,1,95
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2,3,57
Super built-up  Area,Ready To Move,Ardendale,3 BHK,3,2,100
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,1,71
Super built-up  Area,Ready To Move,Hoodi,3 BHK,2,2,95
Built-up  Area,18-??.?.,Electronic City,1 BHK,1,1,34.65
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,2,135
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,3,2,78
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,55.47
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,3,2,252
Super built-up  Area,18-?.?.,Sarjapur  Road,2 BHK,2,1,74.03
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,4,2,200
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,2,55
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,4,3,325
Super built-up  Area,18-?.?.,Chandapura,3 BHK,2,2,30.35
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,3,2,98
Super built-up  Area,18-??.?.,Marathahalli,2 BHK,2,1,46.96
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,9,3,360
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,0,120
Super built-up  Area,18-?.?.,Electronic City Phase II,3 BHK,2,1,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,2,1,30
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,2,2,63
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,2,2,50
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,2,2,126
Super built-up  Area,18-?.?.,Hebbal,3 BHK,2,2,130
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,3,3,110
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2,1,54
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,4,2,220
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,2,0,95
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,2,1,40
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,4,1,230
Super built-up  Area,18-?.?.,Whitefield,2 BHK,2,1,42.16
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,1,165
Super built-up  Area,19-??.?.,Kodigehalli,2 BHK,2,1,98
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,2,1,62
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,4,,235
Super built-up  Area,Ready To Move,NS Palya,2 BHK,2,1,74
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,2,0,50.17
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,4,2,260
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,4,3,180
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,3,2,65
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,5,2,190
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,3,2,56
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,4,3,400
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,4,2,99
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,2,1,49
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,2,2,60
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,3,2,120
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,7,3,337
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,3,2,58
Super built-up  Area,22-??.?.,Hoodi,2 BHK,2,2,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,3,3,52.5
Super built-up  Area,18-??.?.,Electronic City,2 BHK,2,1,63
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,2,1,53
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,1,45
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,2,1,32
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,1,36
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,1,48.5
Plot  Area,17-?.?.,Maragondanahalli,2 Bedroom,2,1,45
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3,1,95
Built-up  Area,Ready To Move,Silk Board,3 BHK,3,1,58
Super built-up  Area,19-?.?.,Hoodi,3 BHK,3,1,68.75
Built-up  Area,Ready To Move,Shampura,1 BHK,2,0,26
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,2,3,38
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,2,1,40
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,2,1,35
Super built-up  Area,17-?.?.,Kambipura,2 BHK,2,1,45
Super built-up  Area,19-??.?.,Sarjapur  Road,2 BHK,2,1,70
Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,3,1,165
Built-up  Area,Ready To Move,Medahalli,1 Bedroom,1,0,41
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,1,67
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,4,2,90
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,4,2,145
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,4,1,80
Super built-up  Area,18-?.?.,Haralur Road,4 BHK,5,3,154
Super built-up  Area,Ready To Move,Begur Road,3 BHK,3,,65
Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,5,1,275
Built-up  Area,Ready To Move,Hosur Road,3 BHK,2,2,48
Built-up  Area,19-?.?.,"Yemlur, Old Airport Road, ",3 BHK,3,2,115
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,2,2,110
Super built-up  Area,18-??.?.,Electronic City,3 BHK,3,2,125
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,1,70
Super built-up  Area,17-?.?.,Jakkur,4 BHK,6,1,465
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,2,42.74
Built-up  Area,Ready To Move,Ittamadu,1 BHK,2,0,85
Super built-up  Area,18-?.?.,Electronic City Phase II,2 BHK,2,1,25
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,4,,120
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,3,1,160
Super built-up  Area,18-??.?.,Ramagondanahalli,2 BHK,2,1,47
Super built-up  Area,18-??.?.,Gattahalli,2 BHK,2,1,45.5
Super built-up  Area,Ready To Move,Arekere,2 BHK,2,2,45
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,2,1,66
Super built-up  Area,Ready To Move,Hebbal,3 BHK,4,1,245
Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,2,2,48.48
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2,1,68
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,2,2,49
Super built-up  Area,Ready To Move,Mico Layout,9 BHK,9,3,210
Built-up  Area,Ready To Move,7th Block Jayanagar,5 Bedroom,3,1,528
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,1,39.73
Built-up  Area,20-?.?.,Whitefield,3 BHK,3,2,101
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,2,1,90
Super built-up  Area,18-??.?.,Electronic City,3 BHK,3,2,99
Plot  Area,18-??.?.,Whitefield,3 Bedroom,3,1,61.95
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,3,0,499
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,2,63
Built-up  Area,Ready To Move,Kammanahalli,5 BHK,5,1,140
Super built-up  Area,Ready To Move,K G Colony,3 BHK,2,,50
Super built-up  Area,18-?.?.,Hennur Road,2 BHK,2,0,63.77
Super built-up  Area,Ready To Move,Hebbal,3 BHK,5,2,260
Super built-up  Area,18-??.?.,Munnekollal,2 BHK,2,2,53.67
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,2,54
Super built-up  Area,Ready To Move,Banashankari,3 BHK,2,2,42
Plot  Area,Ready To Move,Hosa Road,6 Bedroom,6,0,145
Plot  Area,Ready To Move,Herohalli,2 Bedroom,1,1,80
Built-up  Area,Ready To Move,Chikkabanavar,2 BHK,2,1,40
Super built-up  Area,21-?.?.,Kanakpura Road,1 BHK,1,1,27.25
Built-up  Area,Ready To Move,Attibele,2 BHK,2,1,25
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,4,3,175
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,2,1,80
Super built-up  Area,21-?.?.,Bannerghatta Road,1 BHK,1,1,33.32
Built-up  Area,Ready To Move,Ittamadu,2 BHK,2,2,50
Super built-up  Area,19-?.?.,7th Phase JP Nagar,3 BHK,3,1,160
Super built-up  Area,18-?.?.,Bommasandra,2 BHK,2,1,28.15
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,3,1,84
Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,4,1,300
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,3,100
Super built-up  Area,Ready To Move,,3 BHK,3,2,86
Built-up  Area,Ready To Move,Ashwini layout,2 BHK,2,1,55
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4,3,315
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,2,125
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,1,69.3
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,4,3,225
Super built-up  Area,Ready To Move,Marathalli bridge,3 BHK,3,,120
Super built-up  Area,18-?.?.,Banashankari Stage III,3 BHK,2,1,58.7
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,2,80
Plot  Area,Ready To Move,T.C PALYA,2 Bedroom,2,0,65
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,1,73
Plot  Area,Immediate Possession,Sarjapur  Road,,,,34.185
Built-up  Area,Ready To Move,Gottigere,2 BHK,2,3,45
Built-up  Area,Ready To Move,Byatarayanapura,1 Bedroom,1,1,36
Super built-up  Area,19-?.?.,Hormavu,1 BHK,1,2,46
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,313
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,3,1,180
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2,1,48.95
Super built-up  Area,Ready To Move,Jigani,2 BHK,2,1,40
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,1,102
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,2,2,42
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,2,2,38
Built-up  Area,Ready To Move,Kanakapura,3 BHK,3,3,75
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,2,150
Plot  Area,Ready To Move,Papareddipalya,2 Bedroom,2,0,115
Super built-up  Area,18-?.?.,Venkatapura,1 BHK,1,1,18.5
Carpet  Area,Ready To Move,Sanjay nagar,2 BHK,2,2,98
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,2,1,65
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,2,2,45
Built-up  Area,Ready To Move,RMV Extension,3 BHK,3,2,85
Super built-up  Area,19-?.?.,Sarjapur  Road,3 BHK,3,2,44.71
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,2,3,85
Super built-up  Area,17-?.?.,Konanakunte,3 BHK,3,1,223
Super built-up  Area,Ready To Move,Hosapalya,1 BHK,1,0,90
Built-up  Area,Ready To Move,Ashwini layout,1 BHK,1,1,60
Plot  Area,Ready To Move,Doddagubbi,3 Bedroom,4,1,70
Super built-up  Area,Ready To Move,Arekere,3 BHK,3,2,140
Super built-up  Area,19-?.?.,Malleshwaram,7 BHK,7,3,2200
Built-up  Area,Ready To Move,Gottigere,2 BHK,2,1,25
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,49.07
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,1,37
Super built-up  Area,18-?.?.,Sector 6 HSR Layout,4 BHK,5,2,260
Plot  Area,Ready To Move,Brookefield,4 Bedroom,5,2,425
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,2,2,55
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,2,45.8
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,2,2,40
Plot  Area,Ready To Move,Margondanahalli,5 Bedroom,4,2,150
Plot  Area,Ready To Move,ITI Layout,6 Bedroom,5,1,250
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,42
Built-up  Area,Ready To Move,R.T. Nagar,4 Bedroom,4,1,70
Super built-up  Area,Ready To Move,Whitefield,4 BHK,4,2,360
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,,100
Super built-up  Area,18-?.?.,Hebbal,3 BHK,3,2,134
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,2,2,95
Carpet  Area,Ready To Move,Bannerghatta Road,3 BHK,3,2,95
Super built-up  Area,19-?.?.,Kanakapura,1 BHK,1,1,36
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,3,3,95
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,3,100
Super built-up  Area,Ready To Move,Vasanthapura,3 BHK,3,2,60
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,2,2,49
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2,1,85
Carpet  Area,18-?.?.,Hosahalli,3 BHK,3,2,70
Plot  Area,Ready To Move,Hegde Nagar,2 Bedroom,1,,56
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,3,2,160
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,2,50
Super built-up  Area,Ready To Move,Jalahalli West,1 BHK,1,0,25
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,4,3,250
Super built-up  Area,Ready To Move,Kambipura,2 BHK,2,1,29
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,2,3,86
Built-up  Area,Ready To Move,Singasandra,3 BHK,2,3,65
Super built-up  Area,Ready To Move,near Ramanashree California resort,6 BHK,4,1,160
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,5,2,325
Super built-up  Area,18-?.?.,Mahadevpura,2 BHK,2,2,48
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR",3 Bedroom,3,1,660
Carpet  Area,Ready To Move,Chikkalasandra,2 BHK,2,3,52.8
Super built-up  Area,Ready To Move,Jalahalli East,1 BHK,1,2,40
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,2,3,80
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,2,47
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2,2,62
Super built-up  Area,Ready To Move,Poornapragna Housing Society Layout,2 BHK,2,2,52.2
Built-up  Area,Ready To Move,Arekere,9 Bedroom,9,,265
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,3,1,262
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2,1,60
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3,1,150
Built-up  Area,18-?.?.,Huskur,3 BHK,2,1,35.23
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,2,58
Super built-up  Area,20-?.?.,Kanakpura Road,3 BHK,2,1,58
Super built-up  Area,Ready To Move,Bommasandra,3 BHK,3,2,46
Built-up  Area,18-??.?.,Haralur Road,4 BHK,5,,260
Super built-up  Area,Ready To Move,Nagondanahalli,3 BHK,3,2,66
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2,1,45
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,67.39
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,3,3,78
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,0,48.13
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,1,45.98
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,4,2,200
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,1,45
Built-up  Area,Ready To Move,Thanisandra,3 BHK,3,2,130
Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,2,2,200
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,38.55
Super built-up  Area,18-??.?.,Shantiniketan Layout,3 BHK,3,2,108
Super built-up  Area,18-?.?.,JP Nagar,5 BHK,,,375
Built-up  Area,Ready To Move,Herohalli,3 Bedroom,2,0,70
Super built-up  Area,Ready To Move,Teachers Colony,3 BHK,3,0,77
Built-up  Area,18-??.?.,Bettahalsoor,4 Bedroom,4,0,445
Super built-up  Area,18-?.?.,Srinivasa Nagar,3 BHK,2,2,78.34
Built-up  Area,Ready To Move,Yelahanka,3 BHK,3,3,130
Super built-up  Area,Ready To Move,Langford Town,2 BHK,2,2,115
Plot  Area,Ready To Move,Sulthangunta,1 Bedroom,1,0,50
Plot  Area,Ready To Move,Hormavu,7 Bedroom,7,,150
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,2,1,120
Plot  Area,Ready To Move,Byrathi Village,5 Bedroom,5,0,100
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,2,2,57
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,4,2,375
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,2,49.85
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,3,2,165
Super built-up  Area,18-?.?.,Akshaya Nagar,3 BHK,3,2,40
Plot  Area,Ready To Move,Brookefield,3 Bedroom,3,2,140
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,1,56
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3,1,109
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,3,,83.3
Super built-up  Area,19-?.?.,Hoodi,4 BHK,4,2,111
Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,3,0,58
Super built-up  Area,Ready To Move,Varthur Road,2 BHK,2,2,61.75
Plot  Area,Ready To Move,Anjappa Layout,2 Bedroom,2,1,55
Built-up  Area,Ready To Move,Avalahalli,3 BHK,3,3,120
Super built-up  Area,Ready To Move,Prakruthi Nagar,2 BHK,2,2,60
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,3,1,120
Super built-up  Area,18-??.?.,Sadaramangala,2 BHK,2,,43.48
Plot  Area,17-?.?.,Anjanapura,3 Bedroom,3,1,139
Super built-up  Area,Ready To Move,Abbigere,2 BHK,2,1,40.39
Plot  Area,Ready To Move,Tindlu,3 Bedroom,2,1,87
Built-up  Area,18-?.?.,Electronic City,2 BHK,2,1,32.49
Built-up  Area,Ready To Move,Maruthi Sevanagar,2 BHK,2,1,44
Super built-up  Area,18-?.?.,JP Nagar,5 BHK,,,548.5
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3,3,76
Plot  Area,Ready To Move,B Narayanapura,3 Bedroom,2,1,98.5
Built-up  Area,18-?.?.,Electronic City Phase II,2 BHK,2,1,28.34
Built-up  Area,19-??.?.,Hennur Road,3 Bedroom,3,1,159
Super built-up  Area,19-?.?.,Dommasandra,3 BHK,2,2,25.53
Super built-up  Area,18-??.?.,Kammasandra,2 BHK,2,2,24.5
Super built-up  Area,Ready To Move,Green Garden Layout,2 BHK,2,0,45
Super built-up  Area,18-?.?.,Hebbal,2 BHK,2,1,82
Super built-up  Area,Ready To Move,Chandapura,2 BHK,2,2,32
Super built-up  Area,Ready To Move,Koramangala,3 BHK,3,2,160
Super built-up  Area,Ready To Move,Begur Road,3 BHK,2,3,54
Super built-up  Area,18-?.?.,Whitefield,3 BHK,4,2,91
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,3,2,62
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,2,2,82
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,2,40.61
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,71
Super built-up  Area,20-??.?.,Dairy Circle,3 BHK,3,1,225
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,2,1,90
Built-up  Area,Ready To Move,Hulimavu,3 BHK,3,2,100
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,2,42
Super built-up  Area,Ready To Move,Budigere,2 BHK,2,2,57
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,3,1,57
Plot  Area,Ready To Move,Parappana Agrahara,4 Bedroom,3,2,85
Built-up  Area,Ready To Move,Jakkur,3 BHK,2,2,125
Plot  Area,Ready To Move,Jeevan bima nagar,5 Bedroom,4,2,160
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,4,0,220
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,2 BHK,2,1,48
Built-up  Area,Ready To Move,Haralur Road,2 BHK,2,1,53
Super built-up  Area,Ready To Move,KSRTC Layout,2 BHK,2,3,62.5
Super built-up  Area,18-?.?.,Panathur,3 BHK,3,1,118
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,2,1,52
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2,2,47
Super built-up  Area,17-?.?.,Ramagondanahalli,2 BHK,2,1,52.04
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,5,1,500
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,2,37.64
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,2,3,66
Super built-up  Area,18-??.?.,EPIP Zone,3 BHK,3,2,162
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,2,35
Built-up  Area,Ready To Move,P&T Colony,1 BHK,1,0,20.03
